episode:2800, reward:-0.006800900042057037, actor loss:-0.000812083831988275, critic loss:6.19886995991692e-05
episode:2810, reward:0.11951083962122602, actor loss:0.0037955925799906254, critic loss:0.0031637318897992373
episode:2820, reward:0.1157328088680903, actor loss:-0.000721640361007303, critic loss:0.004259434994310141
episode:2830, reward:0.10230157546202341, actor loss:0.0003409631608519703, critic loss:0.0034327744506299496
episode:2840, reward:4.042727930573603, actor loss:0.06396409869194031, critic loss:0.03629141300916672
episode:2850, reward:-0.021993986845016477, actor loss:-0.007002861239016056, critic loss:0.0022523459047079086
episode:2860, reward:-0.02199975383281708, actor loss:-0.005315404385328293, critic loss:0.0030085681937634945
episode:2870, reward:-0.021999879240989683, actor loss:-0.05613480135798454, critic loss:0.004240717738866806
episode:2880, reward:4.032930965332172, actor loss:0.25909191370010376, critic loss:0.036941803991794586
episode:2890, reward:4.032932276038312, actor loss:0.23292383551597595, critic loss:0.037044916301965714
episode:2900, reward:0.10073493186632791, actor loss:0.015543358400464058, critic loss:0.002917948178946972
episode:2910, reward:-0.021998387098312377, actor loss:-0.027475345879793167, critic loss:0.0007049030973576009
episode:2920, reward:-0.02199867403507233, actor loss:-0.025070855394005775, critic loss:0.0020510924514383078
episode:2930, reward:-0.02126329565048218, actor loss:-0.006116932723671198, critic loss:0.0037279860116541386
episode:2940, reward:0.10092922059694927, actor loss:-0.0009714605985209346, critic loss:0.0039021801203489304
episode:2950, reward:-0.021987367749214174, actor loss:-0.010228075087070465, critic loss:0.004501075483858585
episode:2960, reward:-0.020716766834259034, actor loss:-0.0044981613755226135, critic loss:0.0020224053878337145
